,path_initial,path_final
0,25,3
1,25,2
2,25,3
3,25,2
4,25,5
5,25,2
6,25,6
7,25,3
8,25,7
9,25,4
10,25,2
11,25,4
12,25,3
13,25,5
14,25,3
15,25,1
16,25,3
17,25,5
18,25,3
19,25,1
20,25,6
21,25,5
22,25,2
23,25,5
24,25,5
25,25,4
26,25,3
27,25,4
28,25,3
29,25,3
30,25,4
31,25,12
32,25,1
33,25,3
34,25,2
35,25,2
36,25,6
37,25,3
38,25,4
39,25,3
40,25,4
41,25,6
42,25,3
43,25,2
44,25,8
45,25,5
46,25,14
47,25,3
48,25,1
49,25,2
50,25,5
51,25,3
52,25,2
53,25,4
54,25,2
55,25,2
56,25,3
57,25,5
58,25,3
59,25,2
60,25,3
61,25,2
62,25,4
63,25,6
64,25,2
65,25,5
66,25,3
67,25,2
68,25,2
69,25,3
70,25,2
71,25,3
72,25,4
73,25,6
74,25,4
75,25,3
76,25,3
77,25,3
78,25,2
79,25,2
80,25,2
81,25,8
82,25,4
83,25,2
84,25,2
85,25,3
86,25,4
87,25,1
88,25,3
89,25,3
90,25,2
91,25,3
92,25,5
93,25,2
94,25,3
95,25,4
96,25,2
97,25,8
98,25,2
99,25,3
100,25,3
101,25,4
102,25,4
103,25,3
104,25,9
105,25,3
106,25,3
107,25,3
108,25,3
109,25,1
110,25,11
111,25,2
112,25,2
113,25,3
114,25,9
115,25,5
116,25,5
117,25,2
118,25,5
119,25,3
120,25,1
121,25,2
122,25,3
123,25,2
124,25,5
125,25,3
126,25,5
127,25,6
128,25,2
129,25,2
130,25,2
131,25,2
132,25,2
133,25,2
134,25,3
135,25,4
136,25,5
137,25,14
138,25,5
139,25,5
140,25,4
141,25,2
142,25,2
143,25,3
144,25,3
145,25,4
146,25,4
147,25,4
148,25,4
149,25,6
150,25,5
151,25,5
152,25,3
153,25,2
154,25,2
155,25,2
156,25,4
157,25,7
158,25,2
159,25,2
160,25,3
161,25,2
162,25,6
163,25,4
164,25,4
165,25,7
166,25,2
167,25,2
168,25,3
169,25,4
170,25,6
171,25,2
172,25,2
173,25,3
174,25,2
175,25,8
176,25,2
177,25,3
178,25,3
179,25,3
180,25,3
181,25,4
182,25,3
183,25,2
184,25,2
185,25,2
186,25,2
187,25,2
188,25,3
189,25,3
190,25,6
191,25,4
192,25,3
193,25,3
194,25,4
195,25,15
196,25,8
197,25,5
198,25,5
199,25,5
200,25,1
201,25,2
202,25,4
203,25,3
204,25,2
205,25,2
206,25,2
207,25,2
208,25,4
209,25,3
210,25,1
211,25,2
212,25,2
213,25,3
214,25,4
215,25,3
216,25,3
217,25,3
218,25,4
219,25,3
220,25,3
221,25,3
222,25,2
223,25,2
224,25,3
225,25,3
226,25,4
227,25,4
228,25,2
229,25,3
230,25,2
231,25,2
232,25,2
233,25,3
234,25,9
235,25,4
236,25,2
237,25,6
238,25,3
239,25,2
240,25,2
241,25,5
242,25,2
243,25,5
244,25,5
245,25,3
246,25,3
247,25,5
248,25,9
249,25,4
250,25,5
251,25,3
252,25,2
253,25,2
254,25,2
255,25,3
256,25,2
257,25,4
258,25,2
259,25,2
260,25,2
261,25,2
262,25,4
263,25,6
264,25,5
265,25,4
266,25,3
267,25,2
268,25,6
269,25,2
270,25,3
271,25,3
272,25,8
273,25,3
274,25,5
275,25,3
276,25,2
277,25,5
278,25,6
279,25,3
280,25,5
281,25,6
282,25,4
283,25,3
284,25,6
285,25,3
286,25,2
287,25,5
288,25,3
289,25,9
290,25,3
291,25,2
292,25,3
293,25,7
294,25,4
295,25,3
296,25,3
297,25,2
298,25,16
299,25,4
300,25,2
301,25,3
302,25,2
303,25,6
304,25,1
305,25,3
306,25,3
307,25,2
308,25,1
309,25,3
310,25,3
311,25,7
312,25,4
313,25,6
314,25,2
315,25,2
316,25,1
317,25,3
318,25,2
319,25,2
320,25,2
321,25,3
322,25,4
323,25,6
324,25,2
325,25,4
326,25,4
327,25,4
328,25,2
329,25,2
330,25,8
331,25,7
332,25,4
333,25,4
334,25,2
335,25,8
336,25,4
337,25,2
338,25,3
339,25,3
340,25,4
341,25,2
342,25,3
343,25,3
344,25,3
345,25,4
346,25,4
347,25,2
348,25,4
349,25,5
350,25,2
351,25,4
352,25,4
353,25,4
354,25,6
355,25,5
356,25,2
357,25,4
358,25,3
359,25,3
360,25,2
361,25,6
362,25,2
363,25,3
364,25,3
365,25,3
366,25,1
367,25,3
368,25,2
369,25,4
370,25,1
371,25,1
372,25,2
373,25,2
374,25,4
375,25,3
376,25,3
377,25,4
378,25,2
379,25,2
380,25,6
381,25,5
382,25,4
383,25,2
384,25,4
385,25,4
386,25,2
387,25,2
388,25,1
389,25,2
390,25,3
391,25,9
392,25,2
393,25,2
394,25,3
395,25,3
396,25,13
397,25,2
398,25,4
399,25,3
